date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:17	56983/56983	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:48%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/landing-lead-capture.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/landing-lead-capture.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:17	28768/28768	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:51%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/landing-resume.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/landing-resume.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:17	27287/27287	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:49%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/landing-portfolio.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/landing-portfolio.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:17	21868/21868	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:43%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-basic.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-basic.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:17	26001/26001	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:42%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-basic-signup.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-basic-signup.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:18	22177/22177	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:43%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-graphic.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-graphic.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:18	22717/22717	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:43%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-graphic-signup.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-graphic-signup.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:18	21670/21670	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:44%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-inner-page.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-inner-page.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:18	21853/21853	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:44%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/header-nav-only.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/header-nav-only.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:19	21204/21204	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:51%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-basic.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-basic.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:19	25459/25459	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:53%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-company-about.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-company-about.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:19	46121/46121	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:54%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-company-pricing.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-company-pricing.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:19	26544/26544	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:54%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-company-contact.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-company-contact.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:19	23674/23674	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:55%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-company-terms.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-company-terms.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:20	28454/28454	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:55%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-help-center.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-help-center.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:20	34033/34033	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:55%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-help-knowledgebase.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-help-knowledgebase.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:20	30663/30663	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:56%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-help-message-center.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-help-message-center.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:20	23498/23498	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:56%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-help-support-ticket.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-help-support-ticket.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:21	27326/27326	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:53%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-careers-overview.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-careers-overview.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:21	24829/24829	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:52%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-careers-listing.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-careers-listing.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:21	32544/32544	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:52%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-blog-overview.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-blog-overview.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:21	25058/25058	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:52%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-blog-post.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-blog-post.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:21	28870/28870	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:51%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-blog-archive.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-blog-archive.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:22	25331/25331	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:57%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-grid.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-grid.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:22	23929/23929	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:57%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-large-grid.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-large-grid.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:22	23908/23908	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:58%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-masonry.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-masonry.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:22	24878/24878	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:57%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-case-study.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-case-study.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
16:48:23	22243/22243	---M--	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2003:13:58%20GMT	https://themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-project.html	C:/Users/marko/Desktop/click%20photo/themes.startbootstrap.com/sb-ui-kit-pro/page-portfolio-project.html	(from https://themes.startbootstrap.com/sb-ui-kit-pro/)
